RefDes,Name,Pattern,X (in),Y (in),Side,Rotate,Value
U1,SN74ACT245DW,TSSOP-20,1.5017,2.5598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,1.5142,2.9594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.1926,3.1375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.0051,2.75,Top,0,10uF
C3,CAP_0805,CAP_0603,2.196,2.7375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.1017,2.5598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.1142,2.9594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.7926,3.1375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.6051,2.75,Top,0,10uF
C3,CAP_0805,CAP_0603,2.796,2.7375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.7017,2.5598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.7142,2.9594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,0.3926,3.9375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.2051,3.55,Top,0,10uF
C3,CAP_0805,CAP_0603,0.396,3.5375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.3017,3.3598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.3142,3.7594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,0.9926,3.9375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.8051,3.55,Top,0,10uF
C3,CAP_0805,CAP_0603,0.996,3.5375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.9017,3.3598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.9142,3.7594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,1.5926,3.9375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,1.4051,3.55,Top,0,10uF
C3,CAP_0805,CAP_0603,1.596,3.5375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,1.5017,3.3598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,1.5142,3.7594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.1926,3.9375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.0051,3.55,Top,0,10uF
C3,CAP_0805,CAP_0603,2.196,3.5375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.1017,3.3598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.1142,3.7594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.7926,3.9375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.6051,3.55,Top,0,10uF
C3,CAP_0805,CAP_0603,2.796,3.5375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.7017,3.3598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.7142,3.7594,Top,0,3.3V
